Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Jonathan Ledbetter,DE,ARI,29%,0%,0%,0%,16%,0%,0%,0%,33%,0%,40%,0%,bye,29%,59%,51%,26%,0%,194,0.36
Rachad Wildgoose,CB,WAS,0%,0%,69%,0%,52%,69%,70%,41%,0%,0%,0%,0%,0%,bye,0%,2%,0%,0%,194,0.53
Dean Marlowe,S,Multi,2%,43%,0%,0%,20%,2%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,193,0.49
Cameron Thomas,DE,ARI,6%,0%,6%,17%,14%,13%,33%,0%,23%,0%,16%,23%,bye,29%,0%,42%,37%,29%,192,0.23
DeAngelo Malone,DE,ATL,0%,19%,0%,5%,0%,0%,26%,11%,19%,24%,28%,29%,38%,bye,15%,13%,30%,38%,192,0.22
Linval Joseph,DT,PHI,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,40%,61%,24%,30%,54%,49%,30%,19%,189,0.38
Randy Gregory,DE,DEN,47%,68%,71%,61%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,35%,17%,0%,0%,189,0.50
Trysten Hill,DT,Multi,31%,0%,38%,28%,32%,32%,29%,0%,0%,0%,21%,23%,0%,0%,33%,10%,0%,0%,186,0.28
Bryce Huff,DE,NYJ,0%,0%,0%,14%,22%,29%,25%,18%,26%,bye,21%,16%,25%,22%,28%,0%,10%,18%,185,0.21
Henry Anderson,DE,CAR,34%,38%,26%,0%,22%,35%,0%,0%,0%,0%,0%,0%,bye,0%,16%,27%,23%,40%,182,0.29
Chase Winovich,DE,CLE,0%,37%,0%,0%,0%,0%,0%,0%,bye,0%,14%,0%,38%,0%,37%,59%,38%,51%,178,0.39
Jonathan Garvin,DE,GB,0%,0%,18%,22%,20%,18%,0%,0%,32%,34%,38%,26%,37%,bye,0%,0%,31%,0%,178,0.28
Matt Henningsen,DT,DEN,0%,27%,0%,23%,20%,27%,27%,28%,bye,15%,17%,29%,0%,0%,12%,0%,0%,25%,175,0.23
Dallis Flowers,CB,IND,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,bye,27%,40%,94%,98%,174,0.61
Isaiah McDuffie,LB,GB,10%,0%,0%,0%,0%,0%,0%,68%,24%,82%,12%,24%,0%,bye,0%,0%,21%,8%,173,0.33
Jordan Willis,LB,SF,0%,0%,0%,0%,0%,0%,0%,0%,bye,40%,54%,0%,24%,37%,0%,38%,24%,50%,171,0.38
Vinny Curry,DE,NYJ,0%,0%,0%,0%,0%,23%,32%,35%,27%,bye,29%,30%,22%,0%,12%,17%,0%,22%,170,0.25
M.J. Stewart Jr.,CB,HOU,0%,0%,0%,0%,0%,bye,0%,31%,23%,0%,24%,20%,19%,18%,39%,15%,30%,30%,169,0.25
Cor'Dale Flott,CB,NYG,0%,71%,30%,0%,0%,0%,0%,0%,bye,0%,33%,53%,26%,35%,0%,0%,0%,0%,168,0.40
Elijah Hicks,S,CHI,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,62%,100%,bye,0%,11%,30%,49%,168,0.50
Myles Adams,DE,SEA,0%,0%,0%,0%,29%,30%,42%,0%,0%,28%,bye,0%,0%,22%,27%,38%,29%,0%,167,0.30
Joey Bosa,DE,LAC,92%,91%,17%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,49%,35%,165,0.54
JuJu Hughes,S,DET,25%,0%,88%,0%,0%,bye,25%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,165,0.59
Kelvin Joseph,CB,DAL,0%,0%,7%,0%,0%,3%,0%,8%,bye,64%,5%,0%,40%,61%,53%,0%,3%,0%,165,0.27
Tony Jefferson II,S,NYG,20%,17%,0%,0%,21%,0%,0%,0%,bye,0%,0%,0%,33%,32%,30%,32%,33%,23%,164,0.27
Lonnie Johnson Jr.,CB,TEN,0%,34%,14%,0%,0%,bye,0%,31%,27%,9%,0%,0%,0%,0%,0%,79%,34%,0%,164,0.32
Tre Flowers,CB,CIN,8%,16%,27%,19%,14%,19%,0%,36%,0%,bye,22%,14%,11%,15%,19%,0%,0%,13%,162,0.18
Akayleb Evans,CB,MIN,10%,29%,0%,8%,0%,0%,bye,0%,70%,47%,0%,0%,59%,0%,0%,0%,0%,0%,162,0.39
Daniel Sorensen,S,NO,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,3%,0%,0%,bye,4%,59%,100%,100%,161,0.43
Payton Turner,DE,NO,19%,0%,26%,28%,0%,0%,0%,57%,38%,46%,20%,0%,0%,bye,0%,0%,0%,0%,161,0.33
Ja'Sir Taylor,CB,LAC,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,3%,3%,11%,90%,42%,17%,35%,80%,161,0.34
Austin Bryant,DE,DET,35%,0%,26%,0%,78%,bye,0%,0%,0%,0%,37%,51%,0%,0%,0%,0%,0%,0%,160,0.44
Jordan Davis,DT,PHI,32%,0%,31%,36%,42%,33%,bye,25%,0%,0%,0%,0%,0%,0%,0%,12%,26%,0%,160,0.29
Bobby Brown III,DT,LAR,0%,0%,0%,0%,0%,0%,bye,0%,0%,15%,0%,7%,25%,20%,63%,43%,36%,26%,159,0.30
Oren Burks,LB,SF,0%,0%,0%,0%,28%,45%,0%,100%,bye,3%,14%,2%,0%,5%,0%,8%,9%,48%,157,0.24
Trayvon Mullen Jr.,CB,Multi,0%,0%,0%,35%,0%,0%,0%,0%,0%,42%,14%,44%,0%,71%,0%,0%,0%,53%,157,0.44
Chauncey Golston,DT,DAL,0%,0%,15%,0%,0%,39%,0%,25%,bye,0%,32%,16%,19%,0%,0%,13%,38%,33%,157,0.25
Chris Board,S,DET,40%,22%,32%,11%,0%,bye,0%,6%,5%,8%,14%,9%,18%,23%,16%,10%,0%,7%,155,0.16
K'Von Wallace,S,PHI,3%,8%,0%,0%,0%,27%,bye,0%,20%,7%,0%,6%,18%,72%,69%,7%,9%,2%,155,0.20
Landon Collins,S,NYG,0%,0%,0%,0%,0%,0%,32%,0%,bye,0%,0%,0%,0%,0%,43%,46%,55%,52%,153,0.45
Jaleel Johnson,DT,Multi,0%,0%,0%,0%,0%,0%,0%,50%,62%,25%,0%,29%,0%,0%,25%,0%,23%,33%,153,0.35
Marquan McCall,DT,CAR,0%,18%,20%,20%,30%,0%,27%,0%,34%,10%,0%,12%,bye,0%,7%,11%,17%,13%,151,0.19
T.Y. McGill Jr.,DT,SF,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,30%,33%,0%,45%,0%,30%,54%,31%,150,0.38
Eyioma Uwazurike,DT,DEN,0%,0%,0%,0%,15%,0%,0%,0%,bye,0%,0%,38%,24%,0%,38%,34%,32%,44%,150,0.32
Carl Davis Jr.,DE,NE,23%,24%,0%,27%,0%,31%,37%,0%,0%,bye,0%,14%,0%,16%,15%,16%,11%,0%,149,0.21
Jonathan Harris,DT,DEN,0%,0%,0%,0%,0%,0%,0%,0%,bye,39%,12%,0%,0%,31%,32%,51%,70%,0%,149,0.38
Neil Farrell Jr.,DT,LV,0%,0%,0%,0%,29%,bye,15%,48%,39%,0%,36%,0%,0%,16%,0%,21%,0%,22%,149,0.28
Rodarius Williams,CB,NYG,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,40%,67%,0%,0%,0%,0%,0%,96%,147,0.68
DeMarvin Leal,DT,PIT,17%,24%,18%,39%,41%,0%,0%,0%,bye,0%,0%,0%,0%,15%,0%,0%,52%,23%,147,0.27
Blake Cashman,LB,HOU,0%,24%,24%,7%,0%,bye,0%,9%,9%,7%,9%,42%,0%,18%,5%,28%,10%,21%,146,0.16
Samuel Womack III,CB,SF,45%,61%,3%,0%,22%,62%,0%,0%,bye,0%,23%,2%,0%,0%,0%,16%,0%,15%,146,0.27
Jalen Dalton,DT,ATL,0%,0%,0%,0%,0%,0%,0%,16%,26%,18%,49%,0%,0%,bye,33%,37%,42%,0%,145,0.31
Tershawn Wharton,DE,KC,51%,43%,54%,66%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,145,0.53
Isaiah Thomas,DE,CLE,0%,0%,0%,44%,1%,27%,36%,34%,bye,43%,0%,0%,0%,27%,0%,22%,0%,0%,145,0.27
Jeremy Reaves,S,WAS,9%,5%,9%,0%,0%,1%,4%,0%,0%,2%,0%,0%,0%,bye,0%,85%,98%,36%,143,0.25
Tarell Basham,DE,Multi,29%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,36%,30%,45%,59%,0%,142,0.40
Israel Mukuamu,CB,DAL,0%,30%,36%,38%,0%,0%,0%,46%,bye,0%,12%,2%,6%,11%,6%,6%,6%,0%,142,0.19
Kyle Peko,DT,LV,0%,0%,0%,0%,0%,bye,0%,0%,0%,43%,0%,32%,16%,25%,34%,22%,40%,0%,141,0.30
Tracy Walker III,S,DET,75%,100%,11%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,140,0.63
L.J. Collier,LB,SEA,0%,0%,0%,0%,0%,0%,0%,28%,30%,0%,bye,22%,0%,29%,39%,38%,29%,0%,140,0.30
Javon Kinlaw,DT,SF,67%,43%,57%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,22%,0%,42%,140,0.46
James Houston,LB,DET,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,6%,21%,32%,40%,21%,63%,50%,140,0.31
Byron Cowart,DT,IND,0%,14%,0%,0%,19%,24%,14%,0%,0%,7%,25%,26%,19%,bye,21%,0%,30%,0%,138,0.20
Jay Tufele,DT,CIN,0%,0%,0%,0%,0%,32%,45%,51%,47%,bye,11%,19%,0%,0%,20%,0%,0%,0%,138,0.31
Akeem Spence,DT,SF,0%,0%,28%,0%,26%,64%,33%,0%,bye,0%,0%,0%,0%,0%,31%,26%,0%,0%,136,0.34
Krys Barnes,LB,GB,15%,0%,0%,0%,0%,0%,0%,0%,40%,0%,67%,64%,0%,bye,0%,0%,0%,11%,136,0.41
Earnest Brown IV,DE,LAR,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,3%,15%,51%,55%,77%,136,0.40
Josh Blackwell,CB,CHI,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,77%,bye,1%,62%,58%,0%,133,0.44
A.J. Green III,CB,CLE,0%,1%,0%,0%,13%,1%,0%,51%,bye,0%,57%,12%,12%,4%,0%,0%,25%,27%,131,0.18
Isaac Rochell,DE,Multi,0%,0%,44%,89%,27%,46%,0%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,129,0.42
Grant Haley,CB,LAR,0%,0%,81%,42%,75%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,129,0.69
Devon Kennard,LB,Multi,50%,25%,31%,17%,27%,0%,18%,31%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,128,0.29
Nahshon Wright,CB,DAL,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,3%,27%,54%,72%,33%,128,0.38
Otito Ogbonnia,DT,LAC,16%,0%,47%,0%,0%,28%,39%,bye,46%,14%,0%,0%,0%,0%,0%,0%,0%,0%,127,0.32
Ryder Anderson,DE,NYG,0%,0%,0%,0%,0%,0%,8%,0%,bye,0%,0%,0%,0%,54%,19%,28%,0%,71%,127,0.36
Christian Covington,DT,LAC,0%,0%,0%,33%,48%,0%,0%,bye,64%,48%,0%,0%,0%,0%,0%,0%,0%,0%,124,0.48
Justin Bethel,CB,MIA,0%,0%,0%,0%,0%,25%,79%,18%,0%,34%,bye,0%,0%,0%,22%,0%,0%,0%,123,0.37
Joe Schobert,LB,TEN,0%,0%,0%,38%,16%,bye,19%,0%,0%,0%,25%,0%,51%,32%,0%,0%,0%,0%,122,0.31
Naquan Jones,DT,TEN,0%,32%,26%,0%,5%,bye,0%,0%,29%,16%,0%,0%,0%,18%,32%,0%,0%,0%,121,0.23
Dax Hill,S,CIN,0%,0%,6%,0%,9%,4%,0%,28%,6%,bye,0%,11%,7%,1%,89%,2%,0%,6%,120,0.16
Romeo Okwara,DE,DET,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,38%,41%,60%,29%,20%,119,0.39
Anthony Walker Jr.,LB,CLE,68%,74%,52%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,119,0.65
Nick Cross,S,IND,100%,65%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,bye,1%,0%,0%,0%,118,0.41
Chase Young,DE,WAS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,58%,67%,70%,115,0.65
Joe Gaziano,DT,LAC,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,43%,36%,41%,33%,32%,0%,0%,0%,114,0.37
Tony Adams,S,NYJ,0%,1%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,5%,9%,0%,83%,68%,114,0.31
AJ Parker,CB,DET,0%,0%,0%,0%,78%,bye,68%,34%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,113,0.59
Brian Asamoah II,LB,MIN,0%,0%,0%,0%,12%,3%,bye,4%,0%,0%,21%,0%,0%,17%,27%,39%,41%,0%,112,0.21
Russ Yeast,S,LAR,0%,0%,0%,0%,0%,0%,bye,0%,0%,4%,21%,0%,19%,12%,14%,51%,23%,26%,112,0.21
Percy Butler,S,WAS,13%,0%,0%,0%,0%,0%,0%,0%,0%,14%,0%,0%,29%,bye,13%,12%,9%,87%,112,0.27
Derrek Tuszka,DE,Multi,0%,0%,23%,0%,15%,14%,11%,0%,18%,17%,25%,0%,13%,0%,0%,15%,0%,22%,111,0.17
Harrison Hand,S,CHI,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,56%,99%,110,0.77
P.J. Locke,S,DEN,0%,24%,18%,0%,0%,3%,7%,0%,bye,79%,8%,14%,8%,6%,0%,6%,0%,0%,109,0.16
Terrel Bernard,LB,BUF,0%,29%,0%,0%,33%,0%,bye,0%,98%,5%,7%,0%,0%,0%,0%,0%,0%,0%,109,0.32
Greg Mabin,CB,TEN,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,20%,0%,0%,18%,80%,15%,20%,0%,108,0.31
Jarrad Davis,LB,Multi,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,22%,16%,0%,0%,96%,106,0.41
K'Lavon Chaisson,DE,JAC,12%,30%,7%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,12%,20%,22%,47%,12%,106,0.20
Ndamukong Suh,DE,PHI,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,26%,0%,45%,0%,32%,30%,32%,0%,105,0.33
Blake Martinez,LB,LV,0%,0%,0%,0%,10%,bye,23%,31%,91%,0%,0%,0%,0%,0%,0%,0%,0%,0%,105,0.39
Andrew Booth Jr.,CB,MIN,0%,0%,0%,0%,0%,0%,bye,0%,0%,49%,94%,0%,0%,0%,0%,0%,0%,0%,105,0.71
Sam Okuayinonu,DE,TEN,0%,0%,0%,0%,32%,bye,0%,26%,0%,32%,31%,19%,0%,0%,0%,0%,16%,0%,105,0.26
A.J. Klein,LB,Multi,0%,0%,0%,0%,0%,5%,0%,22%,0%,0%,0%,100%,0%,0%,0%,24%,0%,0%,104,0.40
Eric Murray,CB,HOU,0%,1%,0%,0%,0%,bye,20%,50%,14%,19%,13%,12%,0%,0%,0%,0%,0%,32%,104,0.19
Ezekiel Turner,S,ARI,23%,1%,0%,0%,0%,1%,1%,0%,4%,0%,2%,0%,bye,0%,13%,0%,55%,61%,104,0.15
Christian Holmes,CB,WAS,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,96%,55%,bye,0%,0%,0%,9%,103,0.40
Michael Brockers,DT,DET,36%,34%,26%,43%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,102,0.35
Deadrin Senat,DT,TB,0%,0%,21%,21%,26%,19%,24%,0%,0%,0%,bye,0%,0%,27%,21%,0%,0%,0%,102,0.23
Caleb Farley,CB,TEN,28%,72%,0%,41%,14%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,102,0.39
Micah Hyde,S,BUF,97%,64%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,101,0.82
Greedy Williams,CB,CLE,0%,0%,0%,0%,0%,53%,22%,47%,bye,0%,25%,0%,12%,0%,0%,0%,0%,0%,100,0.31
Jordan Kunaszyk,LB,CLE,0%,0%,2%,0%,0%,6%,0%,23%,bye,29%,0%,0%,3%,18%,48%,35%,0%,0%,100,0.20
C.J. Moore,CB,DET,0%,0%,0%,0%,0%,bye,0%,3%,31%,52%,4%,6%,0%,6%,46%,3%,0%,0%,100,0.18
Garret Wallow,LB,HOU,0%,0%,22%,29%,24%,bye,0%,53%,26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100,0.30
Ifeatu Melifonwu,CB,DET,0%,0%,0%,0%,8%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,97%,50%,0%,97,0.53
Zech McPhearson,CB,PHI,0%,20%,21%,94%,0%,0%,bye,0%,0%,0%,0%,0%,22%,19%,0%,0%,0%,0%,96,0.32
Jermaine Carter Jr.,LB,CLE,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,16%,28%,42%,53%,93,0.36
Rashard Lawrence,DT,ARI,41%,49%,0%,0%,0%,40%,6%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,93,0.34
Teez Tabor,CB,SEA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,38%,3%,0%,49%,47%,11%,92,0.29
Sidney Jones IV,CB,Multi,18%,0%,0%,30%,0%,0%,0%,0%,0%,23%,0%,0%,0%,5%,17%,0%,0%,49%,92,0.24
Michael Pierce,DT,BAL,54%,49%,17%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,91,0.42
Jordan Fuller,S,LAR,31%,59%,0%,74%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,91,0.54
Larrell Murchison,DT,Multi,0%,0%,0%,0%,0%,0%,0%,13%,0%,16%,0%,0%,22%,0%,0%,24%,38%,20%,90,0.22
Esezi Otomewo,DT,MIN,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,14%,18%,26%,25%,61%,89,0.27
Anthony Rush,DT,ATL,46%,21%,25%,38%,0%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,87,0.32
Josh Jackson,CB,Multi,0%,0%,0%,0%,46%,82%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,85,0.66
Nick Vigil,LB,ARI,51%,39%,38%,8%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,84,0.36
Mike Ford,CB,ATL,28%,27%,28%,12%,13%,12%,0%,4%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,83,0.17
Ben Banogu,DE,IND,0%,6%,6%,9%,15%,0%,7%,0%,0%,0%,0%,49%,0%,bye,0%,0%,13%,20%,83,0.16
Zack Baun,LB,NO,0%,0%,0%,0%,0%,0%,0%,0%,25%,33%,2%,46%,6%,bye,0%,0%,0%,0%,83,0.23
Elijah Molden,CB,TEN,0%,0%,0%,0%,0%,bye,0%,0%,0%,70%,0%,37%,0%,0%,0%,0%,0%,0%,82,0.55
Matt Dickerson,DE,ATL,21%,0%,0%,0%,18%,20%,0%,0%,0%,0%,0%,0%,35%,bye,0%,0%,0%,35%,81,0.25
Terrell Burgess,S,Multi,0%,0%,31%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,81,0.58
Kyle Fuller,CB,BAL,95%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,80,0.95
Pat O'Connor,DE,TB,0%,6%,0%,1%,0%,0%,0%,26%,0%,0%,bye,0%,0%,0%,14%,17%,0%,47%,79,0.17
Elijah Campbell,S,MIA,7%,0%,0%,0%,0%,0%,0%,0%,22%,9%,bye,2%,6%,31%,0%,8%,12%,18%,79,0.13
Isaiah Pola-Mao,S,LV,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,12%,0%,17%,33%,18%,4%,6%,31%,79,0.17
Demetrius Flannigan-Fowles,LB,SF,0%,0%,28%,0%,12%,12%,56%,0%,bye,0%,0%,0%,0%,0%,0%,8%,0%,0%,78,0.23
Tanner Muse,S,SEA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,2%,0%,30%,0%,29%,62%,78,0.32
Sam Franklin Jr.,LB,CAR,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,42%,60%,bye,0%,0%,0%,17%,0%,78,0.38
Jalen Reeves-Maybin,LB,HOU,0%,0%,0%,3%,21%,bye,0%,0%,12%,0%,0%,67%,0%,0%,0%,0%,0%,0%,77,0.27
Isaiahh Loudermilk,DE,PIT,0%,0%,0%,0%,0%,31%,0%,40%,bye,0%,0%,6%,0%,0%,20%,0%,0%,27%,75,0.25
Shaquille Leonard,LB,IND,0%,0%,0%,30%,0%,0%,0%,39%,54%,0%,0%,0%,0%,bye,0%,0%,0%,0%,74,0.42
Sean Chandler,CB,CAR,0%,0%,0%,43%,13%,0%,6%,7%,31%,0%,0%,0%,bye,0%,0%,0%,0%,0%,74,0.21
Zyon Gilbert,CB,NYG,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,66%,12%,0%,0%,16%,0%,73,0.35
Xavier Rhodes,CB,BUF,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,33%,0%,87%,0%,0%,0%,0%,0%,72,0.55
Aaron Robinson,CB,NYG,95%,0%,0%,16%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,0%,72,0.56
Jamir Jones,DE,PIT,18%,9%,7%,7%,0%,7%,0%,0%,bye,0%,5%,12%,0%,16%,0%,4%,0%,16%,72,0.11
Malik Herring,DT,KC,0%,0%,6%,0%,31%,0%,33%,bye,16%,20%,0%,0%,0%,0%,0%,0%,0%,0%,71,0.22
Josh Norman,CB,CAR,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,13%,100%,70,0.51
Greg Stroman Jr.,CB,CHI,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,99%,70,0.99
Khaleke Hudson,LB,WAS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,4%,2%,100%,70,0.42
Tae Hayes,CB,Multi,0%,0%,0%,0%,0%,26%,4%,0%,23%,0%,0%,0%,0%,0%,0%,0%,34%,14%,69,0.20
Ja'Quan McMillian,CB,DEN,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,100%,68,1.00
Reggie Ragland,LB,CLE,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,61%,35%,12%,66,0.33
Deon Bush,S,KC,23%,0%,0%,0%,17%,25%,11%,bye,0%,0%,5%,19%,0%,0%,0%,0%,0%,0%,66,0.17
Trey Flowers,DE,MIA,0%,14%,45%,23%,0%,2%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,65,0.25
Genard Avery,LB,TB,0%,0%,0%,0%,0%,6%,6%,0%,28%,0%,bye,24%,20%,16%,0%,0%,0%,0%,64,0.17
Brandin Echols,CB,NYJ,0%,7%,3%,0%,6%,16%,9%,8%,0%,bye,11%,5%,26%,0%,0%,0%,0%,0%,64,0.10
Christopher Hinton,DT,LAC,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,17%,37%,55%,63,0.38
Austin Calitro,LB,Multi,68%,9%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,62,0.33
Siran Neal,CB,BUF,3%,20%,0%,0%,33%,18%,bye,0%,3%,0%,0%,0%,0%,0%,0%,16%,0%,0%,62,0.16
Marcell Harris,S,NYJ,0%,0%,22%,44%,7%,0%,11%,0%,0%,bye,8%,0%,0%,0%,0%,0%,0%,0%,62,0.18
Ross Blacklock,DT,MIN,16%,7%,0%,0%,22%,0%,bye,24%,0%,0%,0%,31%,0%,0%,0%,0%,0%,0%,62,0.19
Demone Harris,DE,HOU,42%,0%,0%,0%,0%,bye,0%,38%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,61,0.40
Chris Banjo,S,ARI,0%,0%,0%,0%,0%,9%,0%,0%,0%,20%,29%,0%,bye,0%,13%,9%,15%,0%,60,0.15
Quentin Lake,S,LAR,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,0%,12%,0%,74%,60,0.44
D'Anthony Bell,S,CLE,0%,0%,0%,0%,0%,0%,0%,0%,bye,1%,0%,0%,0%,0%,0%,0%,32%,51%,60,0.25
Montaric Brown,CB,JAC,0%,0%,0%,0%,0%,0%,0%,0%,41%,24%,bye,0%,26%,0%,0%,0%,0%,0%,59,0.30
Daryl Worley,CB,BAL,0%,0%,0%,0%,0%,0%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,0%,88%,58,0.88
Ola Adeniyi,DE,TEN,0%,44%,0%,0%,0%,bye,0%,0%,0%,0%,0%,0%,38%,0%,0%,0%,0%,0%,58,0.41
